x,y,z
522108,8418276,328.492
522118,8418276,331.648
522128,8418276,335.756
522138,8418276,339.838
522148,8418276,343.852
522158,8418276,347.929
522168,8418276,352.102
522178,8418276,356.363
522188,8418276,360.723
522198,8418276,364.641
522208,8418276,368.208
522218,8418276,371.453
522228,8418276,374.216
522238,8418276,376.391
522248,8418276,377.976
522258,8418276,379.1
522268,8418276,379.32
522278,8418276,378.533
522288,8418276,376.531
522298,8418276,373.293
522308,8418276,368.664
522318,8418276,363.914
522328,8418276,359.06
522338,8418276,354.109
522348,8418276,349.422
522358,8418276,345.188
522368,8418276,341.141
522378,8418276,337.458
522388,8418276,334.148
522398,8418276,331.252
522408,8418276,328.567
522418,8418276,326.422
522428,8418276,324.633
522438,8418276,322.883
522448,8418276,321.284
522019,8418266,341.297
522029,8418266,336.516
522039,8418266,332.281
522048,8418266,328.922
522058,8418266,326.383
522068,8418266,324.656
522078,8418266,323.898
522088,8418266,324.227
522098,8418266,325.336
522108,8418266,327.477
522118,8418266,330.883
522128,8418266,335.039
522138,8418266,339.305
522148,8418266,343.547
522158,8418266,347.797
522168,8418266,352.141
522178,8418266,356.563
522188,8418266,360.977
522198,8418266,365.023
522208,8418266,368.672
522218,8418266,371.906
522228,8418266,374.625
522238,8418266,376.703
522248,8418266,378.211
522258,8418266,379.195
522268,8418266,379.43
522278,8418266,378.742
522288,8418266,376.984
522298,8418266,374.078
522308,8418266,370.172
522318,8418266,365.852
522328,8418266,361.273
522338,8418266,356.625
522348,8418266,352.109
522358,8418266,347.977
522368,8418266,344.109
522378,8418266,340.484
522388,8418266,337.156
522398,8418265,334.117
522408,8418265,331.414
522418,8418265,329.211
522428,8418265,327.336
522438,8418265,325.664
522448,8418265,324.133
522019,8418256,337.359
522029,8418256,332.456
522038,8418256,327.91
522048,8418256,324.633
522058,8418256,322.342
522068,8418256,321.102
522078,8418256,320.878
522088,8418256,322.125
522098,8418256,324.031
522108,8418256,326.71
522118,8418256,330.523
522128,8418255,334.819
522138,8418255,339.166
522148,8418255,343.539
522158,8418255,347.896
522168,8418255,352.391
522178,8418255,356.872
522188,8418255,361.443
522198,8418255,365.484
522208,8418255,369.11
522218,8418255,372.328
522228,8418255,375.017
522238,8418255,376.922
522248,8418255,378.288
522258,8418255,379.256
522268,8418255,379.5
522278,8418255,378.944
522288,8418255,377.508
522298,8418255,375.091
522308,8418255,371.649
522318,8418255,367.898
522328,8418255,363.737
522338,8418255,359.422
522348,8418255,355.065
522358,8418255,351.176
522368,8418255,347.508
522378,8418255,343.901
522388,8418255,340.594
