Date,Leone,Nuuuli,Afono
4/18/2017,2.907238168,5.601044772,0.779263672
4/19/2017,2.924140547,5.910790825,0.780631558
4/20/2017,2.928015627,6.426429037,0.783692949
4/21/2017,3.469744184,5.906840959,0.849937369
4/22/2017,2.629276531,6.606846375,0.723029924
4/23/2017,2.533481736,6.589920422,0.845290546
4/24/2017,3.710255222,6.268096207,0.807238473
4/25/2017,3.539385906,5.616335538,0.868477617
4/26/2017,2.963525278,6.261961424,0.684538702
4/27/2017,2.406917876,6.575917078,0.777368121
4/28/2017,2.288261712,7.385480073,0.947776895
4/29/2017,2.800707504,6.599314822,1.245346955
4/30/2017,18.78487442,6.194091946,7.991914412
5/1/2017,7.39334854,2.966556821,1.752574265
5/2/2017,6.949930317,3.587778713,0.858437097
5/3/2017,5.305750418,4.801446451,0.990210585
5/4/2017,10.94890549,2.734852598,9.991286807
5/5/2017,6.068010561,3.552774232,2.41598982
5/6/2017,7.840182863,5.242325313,13.5159644
5/7/2017,5.207875553,2.406071679,3.6251211
5/8/2017,7.143797364,2.655869679,2.879154168
5/9/2017,11.05078356,6.463543512,6.071020534
5/10/2017,106.5603676,65.33298784,42.36450964
5/11/2017,145.0884475,71.28950567,47.53911093
5/12/2017,34.56365839,7.842089409,11.4149081
5/13/2017,27.44733093,8.511835822,7.33210384
5/14/2017,21.26520297,7.398055416,7.407206141
5/15/2017,24.00589417,21.69843101,13.68240763
5/16/2017,55.54787955,39.31360669,24.96859152
5/17/2017,22.16300414,5.802184765,7.123396651
5/18/2017,14.44808994,2.674001325,4.842735407
5/19/2017,11.65149054,2.218337275,3.895728451
5/20/2017,24.9490613,14.58976231,8.727189114
5/21/2017,15.83493936,5.608074312,7.139092464
5/22/2017,21.14279655,5.134943753,6.164138143
5/23/2017,17.03028351,8.174198369,14.48496095
5/24/2017,13.37022699,2.517815898,5.467106899
5/25/2017,11.35773388,2.240912277,4.196750006
5/26/2017,11.20550257,2.545738544,4.362714779
5/27/2017,8.566580627,1.683368045,3.112499691
5/28/2017,7.157938142,1.663760498,2.301508367
5/29/2017,6.174556725,1.777711659,1.727705445
5/30/2017,5.8407594,1.963152258,1.376236237
5/31/2017,4.821659129,2.279635889,0.869308583
6/1/2017,5.536719413,2.304318821,1.027926926
6/2/2017,4.768758379,2.756712532,0.708826381
6/3/2017,4.043654328,3.019978144,0.587858696
6/4/2017,3.786120238,3.466369141,0.454349409
6/5/2017,3.066323895,3.512189249,0.357058839
6/6/2017,2.716661315,3.380572518,0.334823255
6/7/2017,2.804968742,3.162014226,0.743269412
6/8/2017,2.126989715,3.825030676,0.356071282
6/9/2017,1.57702354,4.125729769,0.264011666
6/10/2017,1.528296353,4.288865581,0.256140423
6/11/2017,1.776479378,4.234159579,0.248087226
6/12/2017,2.223897907,3.16025965,0.322733931
6/13/2017,12.13499028,7.869503627,7.28490005
6/14/2017,7.381357353,1.874259876,5.706571089
6/15/2017,10.16283416,1.958589509,2.011215025
6/16/2017,6.915131548,2.09631064,0.930505186
6/17/2017,5.542991232,2.567517729,0.587229809
6/18/2017,5.868113181,2.646844047,0.463470438
6/19/2017,7.257217312,2.633587811,0.387406285
6/20/2017,20.34457177,2.233925665,0.778039751
6/21/2017,16.74879427,4.39209206,3.526525699
6/22/2017,21.84465435,7.198653227,6.168691918
6/23/2017,16.7555909,2.967967347,4.449389296
6/24/2017,11.98721789,1.679388577,1.592718959
6/25/2017,9.560602841,1.796512697,0.763437346
6/26/2017,7.718215452,2.087312625,0.49178291
6/27/2017,7.014626474,2.178900116,0.416582548
6/28/2017,12.11790136,4.756334087,0.474348121
6/29/2017,13.15105566,2.323574108,0.39521451
6/30/2017,11.80626372,3.462046986,0.687017469
7/1/2017,8.231521891,1.719335016,0.246821862
7/2/2017,7.539680817,2.063042825,0.205488206
7/3/2017,19.3191935,22.25260072,5.876527154
7/4/2017,15.93639333,4.630178591,1.908862874
7/5/2017,10.30964736,2.009663586,0.799219901
7/6/2017,8.29964739,1.668274088,0.399194501
7/7/2017,14.0194425,6.083908233,2.49029301
7/8/2017,8.218361634,1.851680207,1.104844338
7/9/2017,7.267352353,1.66996347,0.510360551
7/10/2017,5.900456423,1.756394031,0.291611476
7/11/2017,4.871574864,1.963807832,0.178861704
7/12/2017,6.547904445,3.157941531,0.18056844
7/13/2017,4.853051541,1.69137252,0.122529717
7/14/2017,12.29150177,7.062882903,0.34108459
7/15/2017,9.058922927,7.477375227,0.178912647
7/16/2017,6.157856086,2.044602132,0.112153953
7/17/2017,5.753371,1.645835503,0.125140796
7/18/2017,5.985818428,1.699593442,0.569612
7/19/2017,5.670852575,1.718431539,0.804943982
7/20/2017,5.124305569,1.718480368,0.259340638
7/21/2017,4.308550762,1.992628929,0.130135995
7/22/2017,3.862287091,2.297751366,0.064240482
7/23/2017,3.639244597,2.699453116,0.046242945
7/24/2017,3.454021751,2.420501557,0.046335442
7/25/2017,3.431718935,2.409289042,0.051177739
7/26/2017,8.916049937,2.416603936,0.037497778
7/27/2017,31.1985817,5.764153122,0.03256449
7/28/2017,7.677148878,2.039401649,0.031588202
7/29/2017,5.746873033,2.479053077,0.049559225
7/30/2017,6.058976696,2.582830283,0.056276711
7/31/2017,11.83079502,3.346033571,0.032177707
8/1/2017,5.631331761,1.843196791,0.031328406
8/2/2017,6.60703114,2.457654172,0.03341466
8/3/2017,5.217745205,1.949105958,0.041592246
8/4/2017,4.173600442,2.73538299,0.048317017
8/5/2017,9.311347463,5.273377421,1.290460441
8/6/2017,7.027478268,2.927362518,1.341710947
8/7/2017,5.073689575,1.913951735,0.074201982
8/8/2017,4.300046275,2.39955345,0.034765769
8/9/2017,3.905185715,2.787771715,0.068763503
8/10/2017,4.394928955,2.491537893,0.033404526
8/11/2017,11.69805668,6.475422387,2.220814333
8/12/2017,6.215973831,1.746661402,0.850229
8/13/2017,5.701518596,1.966962176,0.665362244
8/14/2017,12.3272467,5.645493593,6.856501168
8/15/2017,13.7214357,5.442905244,2.097698791
