DateTime,Aasu_RNF_in,Poloa_RNF_in,Vaipito_RNF_in
1.00,0,0.02,0
2.00,0,0,0
3.00,0,0,0
4.00,0,0,0
5.00,0,0,0
6.00,0,0,0
7.00,0,0,0
8.00,0,0,0
9.00,0,0,0
10.00,0,0,0
11.00,0,0,0
12.00,0,0,0
13.00,0,0,0
14.00,0,0,0
15.00,0,0,0
16.00,0,0,0
17.00,0,0,0
18.00,0,0,0
19.00,0,0,0
20.00,0,0,0
21.00,0,0,0
22.00,0,0,0
23.00,0,0,0
24.00,0,0,0
25.00,0,0,0
26.00,0,0,0.02
27.00,0,0,0
28.00,0,0,0
29.00,0.01,0,0
30.00,0,0,0
31.00,0,0,0
32.00,0,0,0.01
33.00,0,0,0.01
34.00,0,0,0.05
35.00,0,0,0.01
36.00,0,0,0
37.00,0,0,0
38.00,0,0,0
39.00,0,0,0
40.00,0,0,0
41.00,0,0,0
42.00,0,0,0
43.00,0,0,0
44.00,0,0,0
45.00,0.04,0,0
46.00,0,0.01,0
47.00,0,0,0
48.00,0,0,0
49.00,0,0,0.01
50.00,0,0,0
51.00,0.02,0,0
52.00,0.01,0.02,0.01
53.00,0,0,0
54.00,0.03,0.01,0
55.00,0,0,0
56.00,0,0,0
57.00,0,0.03,0
58.00,0.05,0.01,0
59.00,0,0,0.01
60.00,0,0.01,0
61.00,0,0,0.03
62.00,0.01,0,0.05
63.00,0,0,0.01
64.00,0.01,0,0
65.00,0,0,0
66.00,0,0,0.05
67.00,0,0,0
68.00,0,0.01,0
69.00,0,0,0.01
70.00,0,0,0.09
71.00,0.04,0,0.02
72.00,0.02,0,0
73.00,0.01,0,0
74.00,0.01,0,0.04
75.00,0.01,0,0.01
76.00,0,0.03,0
77.00,0.01,0,0
78.00,0,0.04,0.03
79.00,0.02,0.02,0
80.00,0.01,0,0
81.00,0,0,0
82.00,0,0,0
83.00,0.01,0,0
84.00,0.02,0,0
85.00,0.01,0.03,0
86.00,0,0,0
87.00,0,0,0
88.00,0,0,0
89.00,0,0,0
90.00,0,0,0
91.00,0,0,0
92.00,0,0,0
93.00,0,0,0
94.00,0,0,0
95.00,0,0,0
96.00,0,0,0
97.00,0,0,0
98.00,0,0,0
99.00,0,0,0
100.00,0,0,0
101.00,0,0,0.01
102.00,0,0,0
103.00,0,0,0
104.00,0.01,0,0
105.00,0,0,0
106.00,0,0,0
107.00,0,0,0
108.00,0.04,0,0
109.00,0,0,0
110.00,0,0,0
111.00,0,0,0
112.00,0,0,0
113.00,0,0,0
114.00,0,0,0
115.00,0.01,0,0
116.00,0,0,0.02
117.00,0,0,0
118.00,0,0,0
119.00,0,0,0
120.00,0,0,0
121.00,0,0,0
122.00,0,0,0
123.00,0,0,0
124.00,0,0,0
125.00,0,0,0
126.00,0,0,0
127.00,0,0,0
128.00,0,0,0
129.00,0,0,0
130.00,0,0,0
131.00,0,0,0
132.00,0,0,0
133.00,0,0,0
134.00,0,0,0
135.00,0,0,0
136.00,0,0,0
137.00,0,0,0
138.00,0,0,0
139.00,0,0,0
140.00,0,0,0
141.00,0.01,0,0
142.00,0,0,0
143.00,0,0,0
144.00,0,0,0
145.00,0,0,0
146.00,0,0,0
147.00,0,0,0
148.00,0,0,0
149.00,0.02,0,0
150.00,0,0,0
151.00,0,0,0
152.00,0.01,0,0
153.00,0,0,0
154.00,0,0,0
155.00,0,0,0
156.00,0,0,0
157.00,0,0,0
158.00,0,0,0
159.00,0,0,0
160.00,0,0,0
161.00,0,0,0
162.00,0,0,0
163.00,0,0,0
164.00,0,0,0
165.00,0,0,0
166.00,0,0,0
167.00,0,0,0
168.00,0,0,0
169.00,0,0,0
170.00,0,0,0
171.00,0,0,0
172.00,0,0,0
173.00,0,0,0
174.00,0,0,0
175.00,0,0,0
176.00,0,0,0
177.00,0,0,0
178.00,0,0,0
179.00,0,0,0
180.00,0,0,0
181.00,0,0,0
182.00,0,0,0
183.00,0,0,0
184.00,0,0,0
185.00,0,0,0
186.00,0,0,0
187.00,0,0,0
188.00,0,0,0
189.00,0,0,0
190.00,0,0,0
191.00,0,0,0
192.00,0,0,0
193.00,0,0,0
194.00,0,0,0
195.00,0,0,0
196.00,0,0,0
197.00,0,0,0
198.00,0,0,0
199.00,0,0,0
200.00,0,0,0
201.00,0,0,0
202.00,0,0,0
203.00,0,0,0
204.00,0,0,0
205.00,0,0,0
206.00,0,0,0
207.00,0,0,0
208.00,0,0,0
209.00,0,0,0
210.00,0,0,0
211.00,0,0,0
212.00,0,0,0
213.00,0,0,0
214.00,0,0,0
215.00,0,0,0
216.00,0,0,0
217.00,0,0,0
218.00,0,0,0
219.00,0,0,0.01
220.00,0,0,0
221.00,0,0,0
222.00,0,0,0
223.00,0,0,0
224.00,0,0,0
225.00,0,0,0
226.00,0,0,0
227.00,0,0,0
228.00,0,0,0
229.00,0,0,0
230.00,0,0,0
231.00,0.01,0,0.02
232.00,0,0,0
233.00,0,0,0
234.00,0,0,0
235.00,0,0,0
236.00,0,0,0
237.00,0,0,0
238.00,0,0,0
239.00,0,0,0
240.00,0.01,0,0
241.00,0,0,0
242.00,0,0,0
243.00,0,0,0
244.00,0,0,0
245.00,0,0,0
246.00,0,0,0
247.00,0,0,0
248.00,0,0,0
249.00,0,0,0
250.00,0,0.02,0
251.00,0,0,0
252.00,0,0,0
253.00,0,0,0
254.00,0,0,0
255.00,0,0,0
256.00,0,0,0
257.00,0,0,0
258.00,0,0,0
259.00,0,0,0
260.00,0,0,0
261.00,0,0,0
262.00,0,0,0
263.00,0,0,0
264.00,0,0,0
265.00,0,0,0
266.00,0,0,0
267.00,0,0,0
268.00,0,0,0
269.00,0,0,0
270.00,0,0,0
271.00,0,0,0
272.00,0.01,0,0
273.00,0,0,0
274.00,0,0,0
275.00,0,0,0
276.00,0,0,0
277.00,0,0,0
278.00,0,0,0
279.00,0,0,0
280.00,0,0,0
281.00,0,0,0
282.00,0,0,0
283.00,0,0,0
284.00,0,0,0
